,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,pred_value
0,1461,20,1,80.0,11622,1,1,1,1,1,1,1,1,1,1,1,1,5,6,1961,1961,1,1,1,1,1,0.0,1,1,1,1,1,1,1,468.0,1,144.0,270.0,882.0,1,1,1,1,896,0,0,896,0.0,0.0,1,0,2,1,1,5,1,0,1,1,1961.0,1,1.0,730.0,1,1,1,140,0,0,0,120,0,1,1,1,0,6,2010,1,1,107578
1,1462,20,2,81.0,14267,1,1,2,1,1,2,1,1,2,1,1,1,6,6,1958,1958,2,1,2,2,2,108.0,1,1,1,1,1,1,2,923.0,2,0.0,406.0,1329.0,1,1,1,1,1329,0,0,1329,0.0,0.0,1,1,3,1,2,6,1,0,1,1,1958.0,1,1.0,312.0,1,1,1,393,36,0,0,0,0,1,2,2,12500,6,2010,1,1,182204
2,1463,60,2,74.0,13830,1,1,2,1,1,1,1,2,2,1,1,2,5,5,1997,1998,1,1,1,1,1,0.0,1,1,2,2,1,1,3,791.0,2,0.0,137.0,928.0,1,2,1,1,928,701,0,1629,0.0,0.0,2,1,3,1,1,6,1,1,2,1,1997.0,2,2.0,482.0,1,1,1,212,34,0,0,0,0,1,1,1,0,3,2010,1,1,169429
3,1464,60,2,78.0,9978,1,1,2,1,1,1,1,2,2,1,1,2,6,6,1998,1998,1,1,1,1,2,20.0,1,1,2,1,1,1,3,602.0,2,0.0,324.0,926.0,1,3,1,1,926,678,0,1604,0.0,0.0,2,1,3,1,2,7,1,1,3,1,1998.0,2,2.0,470.0,1,1,1,360,36,0,0,0,0,1,2,1,0,6,2010,1,1,199690
4,1465,120,2,43.0,5005,1,1,2,2,1,1,1,3,2,1,2,1,8,5,1992,1992,1,1,3,3,1,0.0,2,1,2,2,1,1,2,263.0,2,0.0,1017.0,1280.0,1,3,1,1,1280,0,0,1280,0.0,0.0,2,0,2,1,2,5,1,0,1,1,1992.0,3,2.0,506.0,1,1,1,0,82,0,0,144,0,1,2,1,0,1,2010,1,1,198652
5,1466,60,2,75.0,10000,1,1,2,1,1,2,1,2,2,1,1,2,6,5,1993,1994,1,1,3,3,1,0.0,1,1,2,2,1,1,4,0.0,2,0.0,763.0,763.0,1,2,1,1,763,892,0,1655,0.0,0.0,2,1,3,1,1,7,1,1,2,1,1993.0,2,2.0,440.0,1,1,1,157,84,0,0,0,0,1,2,1,0,4,2010,1,1,174296
6,1467,20,2,-1.0,7980,1,1,2,1,1,1,1,2,2,1,1,1,6,7,1992,2007,1,1,3,3,1,0.0,1,2,2,2,1,1,2,935.0,2,0.0,233.0,1168.0,1,3,1,1,1187,0,0,1187,1.0,0.0,2,0,3,1,1,6,1,0,1,1,1992.0,2,2.0,420.0,1,1,1,483,21,0,0,0,0,1,3,3,500,3,2010,1,1,187439
7,1468,60,2,63.0,8402,1,1,2,1,1,1,1,2,2,1,1,2,6,5,1998,1998,1,1,1,1,1,0.0,1,1,2,2,1,1,4,0.0,2,0.0,789.0,789.0,1,2,1,1,789,676,0,1465,0.0,0.0,2,1,3,1,1,7,1,1,3,1,1998.0,2,2.0,393.0,1,1,1,0,75,0,0,0,0,1,2,1,0,5,2010,1,1,166194
8,1469,20,2,85.0,10176,1,1,1,1,1,1,1,2,2,1,1,1,7,5,1990,1990,1,1,3,3,1,0.0,1,1,2,2,1,2,3,637.0,2,0.0,663.0,1300.0,1,2,1,1,1341,0,0,1341,1.0,0.0,1,1,2,1,2,5,1,1,4,1,1990.0,1,2.0,506.0,1,1,1,192,0,0,0,0,0,1,2,1,0,2,2010,1,1,199834
9,1470,20,2,70.0,8400,1,1,1,1,1,2,1,1,2,1,1,1,4,5,1970,1970,1,1,4,4,1,0.0,1,1,1,1,1,1,2,804.0,3,78.0,0.0,882.0,1,1,1,1,882,0,0,882,1.0,0.0,1,0,2,1,1,4,1,0,1,1,1970.0,2,2.0,525.0,1,1,1,240,0,0,0,0,0,1,1,1,0,4,2010,1,1,98204
10,1471,120,1,26.0,5858,1,1,2,1,1,3,1,1,2,1,2,1,7,5,1999,1999,1,1,5,5,1,0.0,2,1,2,2,1,1,3,1051.0,4,0.0,354.0,1405.0,1,3,1,1,1337,0,0,1337,1.0,0.0,2,0,2,1,2,5,1,1,5,1,1999.0,2,2.0,511.0,1,1,1,203,68,0,0,0,0,1,2,1,0,6,2010,1,1,213158
11,1472,160,3,21.0,1680,1,1,1,1,1,1,1,4,2,1,3,2,6,5,1971,1971,1,1,3,3,2,504.0,1,1,1,1,1,1,1,156.0,2,0.0,327.0,483.0,1,1,1,1,483,504,0,987,0.0,0.0,1,1,2,1,1,5,1,0,1,2,1971.0,1,1.0,264.0,1,1,1,275,0,0,0,0,0,1,2,1,0,2,2010,2,1,114556
12,1473,160,3,21.0,1680,1,1,1,1,1,1,1,4,2,1,3,2,5,5,1971,1971,1,1,3,3,2,492.0,1,1,1,1,1,1,1,300.0,2,0.0,225.0,525.0,1,1,1,1,525,567,0,1092,0.0,0.0,1,1,3,1,1,6,1,0,1,2,1997.0,1,1.0,320.0,1,1,1,0,0,0,0,0,0,1,2,1,0,3,2010,1,1,93376
13,1474,160,2,24.0,2280,1,1,1,1,1,3,1,5,2,1,3,2,6,6,1975,1975,1,1,4,6,1,0.0,1,1,1,1,1,1,2,514.0,2,0.0,341.0,855.0,1,1,1,1,855,601,0,1456,0.0,0.0,2,1,3,1,2,6,1,1,2,1,1975.0,1,2.0,440.0,1,1,1,173,0,0,0,0,0,1,2,1,0,6,2010,1,1,153343
14,1475,120,2,24.0,2280,1,1,1,1,1,3,1,5,2,1,3,1,7,6,1975,1975,1,1,4,6,1,0.0,1,1,1,2,1,1,4,0.0,2,0.0,836.0,836.0,1,3,1,1,836,0,0,836,0.0,0.0,1,0,2,1,1,4,1,0,1,1,1975.0,1,1.0,308.0,1,1,1,0,30,0,0,0,0,1,2,1,0,6,2010,1,1,101031
15,1476,60,2,102.0,12858,1,1,2,1,1,1,1,6,2,1,1,2,9,5,2009,2010,1,1,1,1,3,162.0,3,1,2,3,1,1,4,0.0,2,0.0,1590.0,1590.0,1,3,1,1,1627,707,0,2334,0.0,0.0,2,1,3,1,3,10,1,1,3,1,2009.0,2,3.0,751.0,1,1,1,144,133,0,0,0,0,1,2,1,0,1,2010,3,2,340844
16,1477,20,2,94.0,12883,1,1,2,1,1,2,1,6,2,1,1,1,8,5,2009,2010,1,1,1,1,3,256.0,2,1,2,2,1,1,4,0.0,2,0.0,1544.0,1544.0,1,3,1,1,1544,0,0,1544,0.0,0.0,2,0,3,1,2,7,1,0,1,1,2009.0,3,3.0,868.0,1,1,1,0,35,0,0,0,0,1,2,1,0,6,2010,3,2,251735
17,1478,20,2,90.0,11520,1,1,1,1,1,1,1,6,3,1,1,1,9,5,2005,2005,2,1,1,1,2,615.0,2,1,2,3,1,1,3,110.0,2,0.0,1588.0,1698.0,1,3,1,1,1698,0,0,1698,0.0,0.0,2,0,3,1,3,7,1,1,3,1,2005.0,2,3.0,730.0,1,1,1,192,74,0,0,0,0,1,2,1,0,6,2010,1,1,305244
18,1479,20,2,79.0,14122,1,1,2,1,1,1,1,6,2,1,1,1,8,5,2005,2006,2,1,6,7,2,240.0,2,1,2,3,1,1,3,28.0,2,0.0,1794.0,1822.0,1,3,1,1,1822,0,0,1822,0.0,0.0,2,0,3,1,3,8,1,1,3,1,2005.0,3,3.0,678.0,1,1,1,0,119,0,0,0,0,1,2,1,0,2,2010,1,1,291672
19,1480,20,2,110.0,14300,1,1,1,2,1,1,2,6,2,1,1,1,9,5,2003,2004,2,1,1,1,2,1095.0,3,1,2,3,1,2,3,1373.0,2,0.0,1473.0,2846.0,1,3,1,1,2696,0,0,2696,1.0,0.0,2,1,3,1,3,10,1,2,3,1,2003.0,2,3.0,958.0,1,1,1,220,150,0,0,0,0,1,2,1,0,6,2010,1,1,432403
20,1481,60,2,105.0,13650,1,1,1,1,1,2,1,6,2,1,1,2,8,5,2002,2002,1,1,1,1,2,232.0,2,1,2,2,1,2,3,578.0,2,0.0,1093.0,1671.0,1,3,1,1,1687,563,0,2250,1.0,0.0,2,1,3,1,2,7,1,1,6,1,2002.0,2,3.0,756.0,1,1,1,238,130,0,0,0,0,1,2,1,0,6,2010,1,1,309357
21,1482,120,2,41.0,7132,1,1,2,1,1,1,1,6,2,1,2,1,8,5,2006,2006,1,1,1,1,3,178.0,2,1,2,2,1,3,3,24.0,2,0.0,1346.0,1370.0,1,3,1,1,1370,0,0,1370,0.0,0.0,2,0,2,1,2,6,1,1,3,1,2006.0,3,2.0,484.0,1,1,1,120,49,0,0,0,0,1,2,1,0,4,2010,1,1,232412
22,1483,20,2,100.0,18494,1,1,2,1,1,2,1,2,2,1,1,1,6,5,2005,2005,1,1,1,1,1,0.0,2,1,2,2,1,1,4,0.0,2,0.0,1324.0,1324.0,1,3,1,1,1324,0,0,1324,0.0,0.0,2,0,3,1,2,6,1,0,1,1,2005.0,2,2.0,430.0,1,1,1,36,23,0,0,0,0,1,2,1,0,1,2010,1,1,172794
23,1484,120,2,43.0,3203,1,1,1,1,1,1,1,7,2,1,2,1,7,5,2006,2006,1,1,1,1,2,14.0,2,1,2,2,1,4,3,16.0,2,0.0,1129.0,1145.0,1,3,1,1,1145,0,0,1145,0.0,0.0,2,0,2,1,2,6,1,0,1,1,2006.0,2,2.0,437.0,1,1,1,100,116,0,0,0,0,1,2,1,0,1,2010,1,1,184378
24,1485,80,2,67.0,13300,1,1,2,1,1,1,1,2,2,1,1,3,7,5,2004,2004,1,1,1,1,1,0.0,2,1,2,2,1,1,3,326.0,2,0.0,58.0,384.0,1,3,1,1,744,630,0,1374,1.0,0.0,2,1,3,1,2,7,1,1,3,3,2004.0,2,2.0,400.0,1,1,1,100,0,0,0,0,0,1,2,1,0,6,2010,1,1,198978
25,1486,60,2,63.0,8577,1,1,2,1,1,1,1,2,2,1,1,2,7,5,2004,2004,1,1,1,1,1,0.0,2,1,2,2,1,1,4,0.0,2,0.0,847.0,847.0,1,3,1,1,847,886,0,1733,0.0,0.0,2,1,3,1,2,7,1,1,3,3,2004.0,2,2.0,433.0,1,1,1,144,48,0,0,0,0,1,2,1,0,4,2010,1,1,210407
26,1487,60,2,60.0,17433,1,1,3,1,1,4,1,8,2,1,1,2,8,5,1998,1998,2,1,1,1,2,114.0,2,1,2,3,1,1,4,0.0,2,0.0,1629.0,1629.0,1,3,1,1,1645,830,0,2475,0.0,0.0,2,1,4,1,2,7,1,1,2,1,1998.0,2,3.0,962.0,1,1,1,23,172,0,0,256,0,1,2,1,0,1,2010,1,1,306621
27,1488,20,2,73.0,8987,1,1,1,1,1,1,1,9,2,1,1,1,8,5,2005,2006,1,1,1,1,2,226.0,2,1,2,2,1,5,4,0.0,2,0.0,1595.0,1595.0,1,3,1,1,1595,0,0,1595,0.0,0.0,2,0,2,1,2,6,1,1,3,1,2005.0,3,3.0,880.0,1,1,1,144,0,0,0,0,0,1,2,1,0,5,2010,1,1,263696
28,1489,20,4,92.0,9215,1,1,1,1,1,1,1,9,2,1,1,1,7,5,2009,2010,2,1,1,1,1,0.0,2,1,2,2,1,1,4,0.0,2,0.0,1218.0,1218.0,1,3,1,1,1218,0,0,1218,0.0,0.0,2,0,2,1,2,4,1,0,1,1,2009.0,3,2.0,676.0,1,1,1,0,136,0,0,0,0,1,2,1,0,4,2010,3,2,190990
